first_pid,first_mem,second_pid,second_mem,third_pid,third_mem,fourth_pid,fourth_mem,fifth_pid,fifth_mem
41534,55.7,1,0.2,2,0.0,3,0.0,4,0.0
41534,56.2,13,0.0,1,0.2,2,0.0,3,0.0
41534,56.7,39220,6.0,1,0.2,2,0.0,3,0.0
41534,57.3,39177,5.4,1,0.2,2,0.0,3,0.0
41534,57.8,1,0.2,2,0.0,3,0.0,4,0.0
41534,58.3,39220,6.0,1,0.2,2,0.0,3,0.0
41534,58.8,1,0.2,2,0.0,3,0.0,4,0.0
41534,59.4,39177,5.4,1,0.2,2,0.0,3,0.0
41534,58.4,1,0.2,2,0.0,3,0.0,4,0.0
41534,58.9,39231,1.6,39497,5.1,1,0.2,2,0.0
41534,59.4,37,0.0,1,0.2,2,0.0,3,0.0
41534,59.9,39220,6.1,40309,0.3,1,0.2,2,0.0
41534,60.3,39177,5.4,39497,5.0,1,0.2,2,0.0
41534,58.0,49,0.0,1,0.2,2,0.0,3,0.0
41534,58.5,1,0.2,2,0.0,3,0.0,4,0.0
41534,59.0,39231,1.6,1,0.2,2,0.0,3,0.0
41534,59.6,39177,5.4,39497,4.7,1,0.2,2,0.0
41534,60.1,1,0.2,2,0.0,3,0.0,4,0.0
41534,58.4,49,0.0,1,0.2,2,0.0,3,0.0
41534,58.9,40309,0.3,1,0.2,2,0.0,3,0.0
41534,59.4,1,0.2,2,0.0,3,0.0,4,0.0
41534,60.0,1,0.2,2,0.0,3,0.0,4,0.0
41534,60.5,39177,5.3,1,0.2,2,0.0,3,0.0
41534,58.1,49,0.0,39231,1.6,39497,4.7,1,0.2
41534,55.7,39220,5.3,1,0.1,2,0.0,3,0.0
41534,56.3,1,0.1,2,0.0,3,0.0,4,0.0
41534,56.8,1,0.1,2,0.0,3,0.0,4,0.0
41534,57.3,39177,5.2,39212,1.5,1,0.1,2,0.0
41534,57.8,1,0.1,2,0.0,3,0.0,4,0.0
41534,58.4,39497,4.7,1,0.1,2,0.0,3,0.0
41534,58.9,39220,5.3,1,0.1,2,0.0,3,0.0
41534,59.4,39177,5.3,1,0.1,2,0.0,3,0.0
41534,59.9,1,0.1,2,0.0,3,0.0,4,0.0
41534,60.5,1,0.1,2,0.0,3,0.0,4,0.0
41534,61.0,39231,1.9,1,0.1,2,0.0,3,0.0
41534,59.1,49,0.0,39220,5.2,39231,1.8,39497,4.6
41534,59.6,39177,5.2,39231,1.9,1,0.1,2,0.0
41534,60.1,1,0.1,2,0.0,3,0.0,4,0.0
41534,60.6,39220,5.2,39497,4.7,1,0.1,2,0.0
41534,61.2,1,0.1,2,0.0,3,0.0,4,0.0
41534,61.7,1,0.1,2,0.0,3,0.0,4,0.0
41534,62.2,39177,5.1,1,0.1,2,0.0,3,0.0
41534,61.5,39177,5.1,1,0.1,2,0.0,3,0.0
41534,59.8,39231,1.7,1,0.1,2,0.0,3,0.0
41534,59.1,39497,4.1,1,0.1,2,0.0,3,0.0
41534,59.7,1,0.1,2,0.0,3,0.0,4,0.0
41534,60.2,39177,5.1,39220,4.9,1,0.1,2,0.0
41534,60.7,1,0.1,2,0.0,3,0.0,4,0.0
41534,61.3,39212,1.4,1,0.1,2,0.0,3,0.0
41534,61.8,39177,5.0,1,0.1,2,0.0,3,0.0
41534,61.9,1,0.1,2,0.0,3,0.0,4,0.0
41534,61.0,49,0.0,1,0.1,2,0.0,3,0.0
41534,61.5,1,0.1,2,0.0,3,0.0,4,0.0
41534,62.0,39497,4.1,1,0.1,2,0.0,3,0.0
41534,62.1,49,0.0,39177,5.1,1,0.1,2,0.0
41534,61.5,40271,0.2,1,0.1,2,0.0,3,0.0
41534,62.1,1,0.1,2,0.0,3,0.0,4,0.0
41534,62.6,1,0.1,2,0.0,3,0.0,4,0.0
41534,60.6,13,0.0,37,0.0,49,0.0,39177,5.0
41534,61.2,39231,1.5,1,0.1,2,0.0,3,0.0
41534,61.7,1,0.1,2,0.0,3,0.0,4,0.0
41534,62.2,1,0.1,2,0.0,3,0.0,4,0.0
41534,62.7,40309,0.2,1,0.1,2,0.0,3,0.0
41534,63.2,1,0.1,2,0.0,3,0.0,4,0.0
41534,63.5,39497,3.3,39177,5.1,1,0.1,2,0.0
41534,63.7,39177,5.1,39220,4.7,39231,1.5,39497,3.2
39220,4.8,41534,62.1,39177,5.1,40309,0.2,46853,0.5
41534,62.4,46878,0.5,39177,5.0,39220,4.8,40271,0.2
41534,62.8,1,0.1,2,0.0,3,0.0,4,0.0
41534,62.9,49,0.0,1,0.1,2,0.0,3,0.0
41534,62.3,49,0.0,39177,5.0,39231,1.5,1,0.1
41534,62.8,40271,0.2,40309,0.2,1,0.1,2,0.0
41534,62.7,39497,3.2,49,0.0,1,0.1,2,0.0
41534,63.1,39177,5.0,39220,4.7,1,0.1,2,0.0
41534,63.5,1,0.1,2,0.0,3,0.0,4,0.0
41534,62.7,39177,5.0,49,0.0,1,0.1,2,0.0
41534,63.2,39497,3.2,1,0.1,2,0.0,3,0.0
41534,63.5,49,0.0,39220,4.4,40309,0.3,1,0.1
41534,63.9,49,0.0,13,0.0,39177,5.0,39220,4.5
41534,64.3,49,0.0,39177,4.6,39220,3.9,40309,0.2
41534,64.7,49,0.0,39177,4.3,47203,0.2,1,0.0
41534,65.1,49,0.0,39220,3.9,1,0.0,2,0.0
49,0.0,41534,65.5,39220,3.6,40309,0.2,1,0.0
49,0.0,41534,65.7,1,0.0,2,0.0,3,0.0
49,0.0,41534,66.2,39177,4.0,39220,3.6,40309,0.2
49,0.0,41534,66.5,39177,4.1,39220,3.6,39497,2.4
49,0.0,39497,2.3,41534,67.1,39177,4.0,39212,0.4
49,0.0,39212,0.4,39220,3.7,39177,4.1,41534,67.1
