total,free,used,avail_mem
1024.0,467.2,556.8,2
1024.0,458.8,565.2,2
1024.0,458.8,565.2,2
1024.0,458.8,565.2,2
1024.0,447.2,576.7,2
1024.0,429.2,594.7,3
1024.0,422.2,601.7,2
1024.0,422.2,601.7,2
1024.0,422.5,601.5,3
1024.0,422.5,601.5,2
1024.0,422.5,601.5,2
1024.0,416.0,608.0,3
1024.0,416.0,608.0,2
1024.0,416.0,608.0,2
1024.0,401.5,622.5,2
1024.0,401.5,622.5,3
1024.0,401.5,622.5,2
1024.0,401.5,622.5,2
1024.0,370.5,653.5,3
1024.0,370.5,653.5,3
1024.0,370.5,653.5,2
1024.0,370.5,653.5,2
1024.0,370.5,653.5,3
1024.0,370.5,653.5,2
1024.0,370.5,653.5,2
1024.0,370.5,653.5,2
1024.0,350.1,673.9,2
1024.0,348.1,675.9,4
1024.0,348.1,675.9,4
1024.0,348.1,675.9,3
1024.0,348.1,675.9,3
1024.0,336.8,687.2,3
1024.0,336.8,687.2,3
1024.0,336.8,687.2,2
1024.0,312.0,712.0,3
1024.0,312.2,711.8,2
1024.0,312.2,711.8,3
1024.0,312.2,711.8,3
1024.0,312.2,711.8,2
1024.0,312.5,711.5,2
1024.0,300.2,723.8,3
1024.0,300.2,723.8,2
1024.0,300.2,723.8,2
1024.0,286.6,737.4,3
1024.0,286.6,737.4,2
1024.0,287.1,736.9,3
1024.0,287.8,736.2,2
1024.0,253.4,770.6,5
1024.0,253.4,770.6,4
1024.0,253.4,770.6,3
1024.0,253.4,770.6,3
1024.0,253.4,770.6,3
1024.0,253.4,770.6,2
1024.0,253.4,770.6,2
1024.0,253.4,770.6,2
1024.0,253.4,770.6,2
1024.0,241.2,782.8,3
1024.0,241.2,782.8,3
1024.0,241.7,782.3,2
1024.0,241.7,782.3,2
1024.0,238.0,786.0,2
1024.0,215.4,808.6,4
1024.0,215.4,808.6,3
1024.0,215.4,808.6,3
1024.0,215.4,808.6,2
1024.0,215.4,808.6,2
1024.0,199.2,824.8,4
1024.0,199.2,824.8,3
1024.0,199.2,824.8,3
1024.0,199.2,824.8,2
1024.0,199.2,824.8,2
1024.0,176.5,847.5,2
1024.0,150.6,873.4,4
1024.0,150.6,873.4,4
1024.0,150.6,873.4,4
1024.0,150.6,873.4,3
1024.0,150.6,873.4,3
1024.0,150.6,873.4,2
1024.0,150.6,873.4,2
1024.0,150.6,873.4,3
1024.0,150.6,873.4,3
1024.0,150.6,873.4,2
1024.0,150.9,873.1,2
1024.0,133.8,890.2,3
1024.0,134.0,890.0,3
1024.0,134.0,890.0,2
1024.0,134.0,890.0,2
1024.0,134.0,890.0,2
1024.0,128.5,895.5,2
1024.0,128.7,895.3,2
1024.0,118.3,905.7,2
1024.0,101.8,922.2,3
1024.0,92.8,931.2,4
1024.0,93.0,931.0,4
1024.0,93.0,931.0,3
1024.0,93.0,931.0,3
1024.0,93.0,931.0,2
1024.0,93.0,931.0,2
1024.0,90.1,933.9,2
1024.0,80.3,943.7,3
1024.0,80.3,943.7,2
1024.0,80.3,943.7,2
1024.0,71.8,952.2,2
1024.0,62.3,961.7,2
1024.0,62.3,961.7,2
1024.0,62.3,961.7,2
1024.0,40.1,983.9,4
1024.0,40.1,983.9,3
1024.0,40.1,983.9,3
1024.0,40.1,983.9,2
1024.0,40.1,983.9,2
1024.0,40.1,983.9,2
1024.0,40.1,983.9,2
1024.0,40.1,983.9,2
1024.0,26.5,997.5,2
1024.0,26.7,997.3,2
1024.0,26.7,997.3,2
1024.0,23.7,1000.3,2
1024.0,14.5,1009.5,2
1024.0,14.3,1009.6,2
1024.0,9.2,1014.8,2
1024.0,9.2,1014.8,2
1024.0,9.5,1014.5,2
1024.0,0.0,1024.0,2
1024.0,0.0,1024.0,2
1024.0,0.0,1024.0,2
1024.0,0.0,1024.0,2
1024.0,0.0,1024.0,2
1024.0,0.0,1024.0,2
1024.0,0.0,1024.0,1
1024.0,0.0,1024.0,1
1024.0,0.0,1024.0,1
1024.0,0.0,1024.0,1
1024.0,0.0,1024.0,
1024.0,0.0,1024.0,
1024.0,0.0,1024.0,
